# 05_IMPORTS_STRATIFIED.txt
# Temporal and architectural classification
# Format: <module>|<era>|<module_reality>|<symbol_reality>

.integration|ERA_UNKNOWN|DEAD|N/A
abc|ERA_UNKNOWN|DEAD|N/A
enum|ERA_UNKNOWN|DEAD|N/A
uuid|ERA_UNKNOWN|DEAD|N/A
.signal|ERA_UNKNOWN|DEAD|N/A
.signal_distribution_orchestrator|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.audits.integration|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.colombia_context|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.cross_cutting|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.dimensions|ERA_UNKNOWN|DEAD|N/A
subprocess|ERA_UNKNOWN|DEAD|N/A
structlog|ERA_UNKNOWN|DEAD|N/A
.core.signal_distribution_orchestrator|ERA_UNKNOWN|LIVE|N/A
.core.signal|ERA_UNKNOWN|LIVE|N/A
farfan_pipeline.orchestration.factory|ERA_MODERN|LIVE|N/A
canonic_questionnaire_central.scoring|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.scoring.validators|ERA_UNKNOWN|LIVE|N/A
.modules|ERA_UNKNOWN|DEAD|N/A
.validators|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.scoring.modules|ERA_UNKNOWN|LIVE|N/A
.quality_levels|ERA_UNKNOWN|DEAD|N/A
.scoring_modalities|ERA_UNKNOWN|DEAD|N/A
.pdet_scoring_enrichment|ERA_UNKNOWN|DEAD|N/A
.phase4_territorial_integration|ERA_UNKNOWN|DEAD|N/A
math|ERA_UNKNOWN|DEAD|N/A
.scoring_validators|ERA_UNKNOWN|DEAD|N/A
..modules.quality_levels|ERA_UNKNOWN|DEAD|N/A
..modules.scoring_modalities|ERA_UNKNOWN|DEAD|N/A
csv|ERA_UNKNOWN|DEAD|N/A
yaml|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.validations.runtime_validators.scope_validator|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.validations.runtime_validators.value_add_validator|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.validations.runtime_validators.capability_validator|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.validations.runtime_validators.channel_validator|ERA_UNKNOWN|LIVE|N/A
statistics|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.choquet_aggregator|ERA_MODERN|DEAD|N/A
os|ERA_UNKNOWN|DEAD|N/A
.dependency_graph|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.orchestration|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.interphase.wiring_types|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.extractors|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS|ERA_MODERN|LIVE|N/A
importlib.util|ERA_UNKNOWN|DEAD|N/A
ast_analyzers|ERA_UNKNOWN|LIVE|N/A
..base_consumer|ERA_UNKNOWN|DEAD|N/A
...core.signal|ERA_UNKNOWN|LIVE|N/A
inspect|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_01.interphase.phase0_to_phase1_bridge|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.interphase.phase1_phase2_adapter|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_02.interphase.phase2_phase3_adapter|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_05.interphase.phase5_10_00_entry_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_05.interphase.phase5_10_00_exit_contract|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_07.interphase.phase6_to_phase7_bridge|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_08.interphase.interface_validator|ERA_MODERN|DEAD|N/A
importlib|ERA_UNKNOWN|DEAD|N/A
canonic_questionnaire_central.validations.pdet_validator|ERA_UNKNOWN|LIVE|N/A
canonic_questionnaire_central.scoring.modules.pdet_scoring_enrichment|ERA_UNKNOWN|DEAD|N/A
shutil|ERA_UNKNOWN|DEAD|N/A
tempfile|ERA_UNKNOWN|DEAD|N/A
random|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.dashboard_atroz_.pdet_colombia_data|ERA_MODERN|LIVE|N/A
py_compile|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.calibration.calibration_core|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.calibration|ERA_MODERN|LIVE|N/A
numpy|ERA_UNKNOWN|DEAD|N/A
resource|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.signal|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.event|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.bus|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.contracts|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.structural|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.integrity|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.epistemic|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.contrast|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.operational|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.consumption|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.orchestration|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.validators.depuration|ERA_MODERN|LIVE|N/A
canonic_questionnaire_central.core.signal_distribution_orchestrator|ERA_UNKNOWN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.wiring.wiring_config|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.harmonization.harmonization_validator|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_map|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_executor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_validator|ERA_MODERN|LIVE|N/A
canonic_questionnaire_central.core.signal|ERA_UNKNOWN|LIVE|N/A
farfan_pipeline.orchestration.sisas_integration_hub|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_two.phase2_60_00_base_executor_with_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.orchestration.core_orchestrator|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.extractors.financial_chain_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.extractors.causal_verb_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.extractors.institutional_ner_extractor|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.questionnaire.modular_resolver|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_06.phase6_10_01_scoring_config|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_06.phase6_10_00_phase_6_constants|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_06.phase6_20_00_adaptive_meso_scoring|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_06|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_06.contracts.phase6_output_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_02.phase2_60_01_contract_validator_cqvr|ERA_MODERN|LIVE|N/A
setuptools|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.calibration|ERA_MODERN|LIVE|N/A
farfan_pipeline.core.types|ERA_MODERN|LIVE|N/A
farfan_pipeline.data_models.unit_of_analysis|ERA_MODERN|LIVE|N/A
farfan_pipeline.api|ERA_MODERN|LIVE|N/A
fastapi.middleware.cors|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.calibration.pdm_calibrator|ERA_MODERN|LIVE|N/A
farfan_pipeline.calibration.registry|ERA_MODERN|LIVE|N/A
farfan_pipeline.calibration.calibration_core|ERA_MODERN|LIVE|N/A
farfan_pipeline.calibration.epistemic_core|ERA_MODERN|LIVE|N/A
farfan_pipeline.calibration.type_defaults|ERA_MODERN|LIVE|N/A
farfan_pipeline.calibration.mathematical_calibration|ERA_MODERN|LIVE|N/A
.calibration_core|ERA_UNKNOWN|DEAD|N/A
.mathematical_calibration|ERA_UNKNOWN|DEAD|N/A
scipy|ERA_UNKNOWN|DEAD|N/A
scipy.optimize|ERA_UNKNOWN|DEAD|N/A
scipy.spatial.distance|ERA_UNKNOWN|DEAD|N/A
sklearn.metrics|ERA_UNKNOWN|DEAD|N/A
skopt|ERA_UNKNOWN|DEAD|N/A
skopt.space|ERA_UNKNOWN|DEAD|N/A
types|ERA_UNKNOWN|DEAD|N/A
.epistemic_core|ERA_UNKNOWN|DEAD|N/A
collections.abc|ERA_UNKNOWN|DEAD|N/A
scipy.special|ERA_UNKNOWN|DEAD|N/A
sklearn.model_selection|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.capacity.types|ERA_MODERN|LIVE|N/A
farfan_pipeline.capacity.base_score|ERA_MODERN|LIVE|N/A
farfan_pipeline.capacity.aggregation|ERA_MODERN|LIVE|N/A
farfan_pipeline.capacity.equipment|ERA_MODERN|LIVE|N/A
farfan_pipeline.capacity.ici_calculator|ERA_MODERN|LIVE|N/A
farfan_pipeline.capacity.phase_integration|ERA_MODERN|LIVE|N/A
farfan_pipeline.capacity.phase_aware_aggregation|ERA_MODERN|LIVE|N/A
numpy.typing|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.config.threshold_config|ERA_MODERN|LIVE|N/A
flask|ERA_UNKNOWN|DEAD|N/A
.monitoring_enhanced|ERA_UNKNOWN|DEAD|N/A
..api.api_server|ERA_UNKNOWN|DEAD|N/A
.api_v1_schemas|ERA_UNKNOWN|DEAD|N/A
asyncio|ERA_UNKNOWN|DEAD|N/A
sse_starlette.sse|ERA_UNKNOWN|DEAD|N/A
.api_v1_errors|ERA_UNKNOWN|DEAD|N/A
.api_v1_store|ERA_UNKNOWN|DEAD|N/A
.api_v1_visualizations|ERA_UNKNOWN|DEAD|N/A
.api_v1_sisas_mining|ERA_UNKNOWN|DEAD|N/A
.api_v1_reports|ERA_UNKNOWN|DEAD|N/A
.api_v1_utils|ERA_UNKNOWN|DEAD|N/A
.pdet_colombia_data|ERA_UNKNOWN|DEAD|N/A
unicodedata|ERA_UNKNOWN|DEAD|N/A
secrets|ERA_UNKNOWN|DEAD|N/A
bcrypt|ERA_UNKNOWN|DEAD|N/A
.auth_admin|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.analysis.cross_document_comparative|ERA_MODERN|DEAD|N/A
flask_cors|ERA_UNKNOWN|DEAD|N/A
flask_socketio|ERA_UNKNOWN|DEAD|N/A
werkzeug.utils|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_10_00_paths|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.pdet_dashboard_adapter|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.pipeline_dashboard_bridge|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.api_monitoring_enhanced|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.dashboard_data_service|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.data_mining_engine|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.analytics_engine|ERA_MODERN|LIVE|N/A
psutil|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.dashboard_atroz_.monitoring_enhanced|ERA_MODERN|LIVE|N/A
farfan_pipeline.orchestration.orchestrator|ERA_ORCHESTRATOR|LIVE|N/A
..api.dashboard_data_service|ERA_UNKNOWN|DEAD|N/A
difflib|ERA_UNKNOWN|DEAD|N/A
httpx|ERA_UNKNOWN|DEAD|N/A
..api.pipeline_connector|ERA_UNKNOWN|DEAD|N/A
threading|ERA_UNKNOWN|DEAD|N/A
spacy|ERA_UNKNOWN|DEAD|N/A
spacy.pipeline|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_02.phase2_10_00_factory|ERA_MODERN|LIVE|N/A
fastapi.exception_handlers|ERA_UNKNOWN|DEAD|N/A
fastapi.exceptions|ERA_UNKNOWN|DEAD|N/A
starlette.exceptions|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.dashboard_atroz_.api_v1_errors|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.api_v1_router|ERA_MODERN|LIVE|N/A
farfan_pipeline.dashboard_atroz_.auth_router|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals|ERA_MODERN|LIVE|N/A
sklearn.feature_extraction.text|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.data_models.handoff_contracts|ERA_MODERN|LIVE|N/A
farfan_pipeline.entrypoint.main|ERA_MODERN|LIVE|N/A
farfan_pipeline.orchestration.cli|ERA_MODERN|LIVE|N/A
.bayesian_prior_builder|ERA_UNKNOWN|DEAD|N/A
.bayesian_sampling_engine|ERA_UNKNOWN|DEAD|N/A
.bayesian_adapter|ERA_UNKNOWN|DEAD|N/A
.bayesian_diagnostics|ERA_UNKNOWN|DEAD|N/A
arviz|ERA_UNKNOWN|DEAD|N/A
matplotlib.pyplot|ERA_UNKNOWN|DEAD|N/A
pymc|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.dependencies|ERA_MODERN|LIVE|N/A
.pdm_calibrator|ERA_UNKNOWN|DEAD|N/A
.registry|ERA_UNKNOWN|DEAD|N/A
.type_defaults|ERA_UNKNOWN|DEAD|N/A
.audit_trail|ERA_UNKNOWN|DEAD|N/A
.runtime_contracts|ERA_UNKNOWN|DEAD|N/A
hmac|ERA_UNKNOWN|DEAD|N/A
audit_trail|ERA_UNKNOWN|DEAD|N/A
blake3|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.utils.enhanced_contracts|ERA_MODERN|DEAD|N/A
contextlib|ERA_UNKNOWN|DEAD|N/A
doctest|ERA_UNKNOWN|DEAD|N/A
io|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.calibration.parameters|ERA_MODERN|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_10_01_runtime_config|ERA_MODERN|LIVE|N/A
pytest|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.contractual.dura_lex.aggregation_contract|ERA_MODERN|LIVE|N/A
unittest.mock|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_00.phase0_20_02_determinism|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.phase0_50_00_boot_checks|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.phase0_50_01_exit_gates|ERA_MODERN|LIVE|N/A
farfan_pipeline.phases.Phase_00.phase0_90_01_verified_pipeline_runner|ERA_MODERN|LIVE|N/A
farfan_pipeline.contracts.traceability|ERA_MODERN|DEAD|N/A
farfan_pipeline.question_context|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.context_immutability|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.concurrency_determinism|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.idempotency_dedup|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.failure_fallback|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.monotone_compliance|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.alignment_stability|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.permutation_invariance|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.budget_monotonicity|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.routing_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.risk_certificate|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.refusal|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.retriever_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.snapshot_contract|ERA_MODERN|DEAD|N/A
farfan_pipeline.contracts.total_ordering|ERA_MODERN|DEAD|N/A
orchestration.verify_contracts|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.phases.Phase_02.executors.base_executor_with_contract|ERA_MODERN|DEAD|N/A
orchestration.class_registry|ERA_UNKNOWN|DEAD|N/A
.empirical_extractor_base|ERA_UNKNOWN|DEAD|N/A
.structural_marker_extractor|ERA_UNKNOWN|DEAD|N/A
.normative_reference_extractor|ERA_UNKNOWN|DEAD|N/A
.quantitative_triplet_extractor|ERA_UNKNOWN|DEAD|N/A
.financial_chain_extractor|ERA_UNKNOWN|DEAD|N/A
.causal_verb_extractor|ERA_UNKNOWN|DEAD|N/A
.institutional_ner_extractor|ERA_UNKNOWN|DEAD|N/A
.extractor_validator|ERA_UNKNOWN|DEAD|N/A
{extractor.__class__.__module__}|ERA_UNKNOWN|DEAD|N/A
transformers|ERA_UNKNOWN|DEAD|N/A
string|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.extractors.programmatic_hierarchy_extractor|ERA_MODERN|LIVE|N/A
.core.event|ERA_UNKNOWN|DEAD|N/A
.core.contracts|ERA_UNKNOWN|DEAD|N/A
.core.bus|ERA_UNKNOWN|DEAD|N/A
.vehicles.signal_registry|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_registry|ERA_MODERN|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_context_scoper|ERA_MODERN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.integration.signal_consumption_integration|ERA_SIGNAL_CONSUMPTION|LIVE|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.audit.questionnaire_access_audit|ERA_MODERN|LIVE|N/A
..core.contracts|ERA_UNKNOWN|DEAD|N/A
..signal_types.types.consumption|ERA_UNKNOWN|DEAD|N/A
..core.event|ERA_UNKNOWN|DEAD|N/A
..core.signal|ERA_UNKNOWN|LIVE|N/A
..core.bus|ERA_UNKNOWN|DEAD|N/A
.base_consumer|ERA_UNKNOWN|DEAD|N/A
.phase0.phase0_90_02_bootstrap|ERA_BOOTSTRAP|DEAD|N/A
.phase0.providers|ERA_UNKNOWN|DEAD|N/A
.phase0.wiring_types|ERA_UNKNOWN|DEAD|N/A
.phase1.phase1_11_00_signal_enrichment|ERA_UNKNOWN|DEAD|N/A
.phase1.phase1_13_00_cpp_ingestion|ERA_UNKNOWN|DEAD|N/A
.phase2.phase2_factory_consumer|ERA_UNKNOWN|DEAD|N/A
.phase2.phase2_evidence_consumer|ERA_UNKNOWN|DEAD|N/A
.phase2.phase2_contract_consumer|ERA_UNKNOWN|DEAD|N/A
.phase2.phase2_executor_consumer|ERA_UNKNOWN|DEAD|N/A
.phase3.phase3_10_00_signal_enriched_scoring|ERA_UNKNOWN|DEAD|N/A
.phase4.phase4_aggregation_consumer|ERA_UNKNOWN|DEAD|N/A
.phase5.phase5_uncertainty_consumer|ERA_UNKNOWN|DEAD|N/A
.phase6.phase6_configuration_consumer|ERA_UNKNOWN|DEAD|N/A
.phase7.phase7_meso_consumer|ERA_UNKNOWN|DEAD|N/A
.phase8.phase8_30_00_signal_enriched_recommendations|ERA_UNKNOWN|DEAD|N/A
.phase9.phase9_reporting_consumer|ERA_UNKNOWN|DEAD|N/A
..signal_types.types.operational|ERA_UNKNOWN|DEAD|N/A
.phase0_90_02_bootstrap|ERA_BOOTSTRAP|DEAD|N/A
.providers|ERA_UNKNOWN|DEAD|N/A
.wiring_types|ERA_UNKNOWN|DEAD|N/A
...core.contracts|ERA_UNKNOWN|DEAD|N/A
.phase1_11_00_signal_enrichment|ERA_UNKNOWN|DEAD|N/A
.phase1_13_00_cpp_ingestion|ERA_UNKNOWN|DEAD|N/A
.phase2_factory_consumer|ERA_UNKNOWN|DEAD|N/A
.phase2_executor_consumer|ERA_UNKNOWN|DEAD|N/A
.phase2_evidence_consumer|ERA_UNKNOWN|DEAD|N/A
.phase2_contract_consumer|ERA_UNKNOWN|DEAD|N/A
...core.event|ERA_UNKNOWN|DEAD|N/A
opentelemetry|ERA_UNKNOWN|DEAD|N/A
.phase3_10_00_signal_enriched_scoring|ERA_UNKNOWN|DEAD|N/A
.phase4_aggregation_consumer|ERA_UNKNOWN|DEAD|N/A
.phase5_uncertainty_consumer|ERA_UNKNOWN|DEAD|N/A
.phase6_configuration_consumer|ERA_UNKNOWN|DEAD|N/A
.phase8_30_00_signal_enriched_recommendations|ERA_UNKNOWN|DEAD|N/A
.phase9_reporting_consumer|ERA_UNKNOWN|DEAD|N/A
.event|ERA_UNKNOWN|DEAD|N/A
.contracts|ERA_UNKNOWN|DEAD|N/A
.bus|ERA_UNKNOWN|DEAD|N/A
queue|ERA_UNKNOWN|DEAD|N/A
. signal|ERA_UNKNOWN|DEAD|N/A
typing_extensions|ERA_UNKNOWN|DEAD|N/A
.harmonization_validator|ERA_UNKNOWN|DEAD|N/A
fnmatch|ERA_UNKNOWN|DEAD|N/A
..validators.depuration|ERA_UNKNOWN|DEAD|N/A
..wiring.wiring_config|ERA_UNKNOWN|DEAD|N/A
..vocabulary.signal_vocabulary|ERA_UNKNOWN|DEAD|N/A
..vocabulary.capability_vocabulary|ERA_UNKNOWN|DEAD|N/A
..vehicles|ERA_UNKNOWN|DEAD|N/A
..consumers|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.audit.consumption_proof|ERA_MODERN|LIVE|N/A
.irrigation_map|ERA_UNKNOWN|DEAD|N/A
..vehicles.base_vehicle|ERA_UNKNOWN|DEAD|N/A
.vocabulary.signal_vocabulary|ERA_UNKNOWN|DEAD|N/A
.vocabulary.capability_vocabulary|ERA_UNKNOWN|DEAD|N/A
.vocabulary.alignment_checker|ERA_UNKNOWN|DEAD|N/A
.irrigation.irrigation_map|ERA_UNKNOWN|DEAD|N/A
.irrigation.irrigation_executor|ERA_UNKNOWN|DEAD|N/A
.vehicles.signal_context_scoper|ERA_UNKNOWN|DEAD|N/A
.scripts.generate_contracts|ERA_UNKNOWN|DEAD|N/A
.generate_contracts|ERA_UNKNOWN|DEAD|N/A
.. core.contracts|ERA_UNKNOWN|DEAD|N/A
..irrigation. irrigation_map|ERA_UNKNOWN|DEAD|N/A
.audit.questionnaire_access_audit|ERA_UNKNOWN|DEAD|N/A
.types.structural|ERA_UNKNOWN|DEAD|N/A
.types.integrity|ERA_UNKNOWN|DEAD|N/A
.types.epistemic|ERA_UNKNOWN|DEAD|N/A
.types.contrast|ERA_UNKNOWN|DEAD|N/A
.types.operational|ERA_UNKNOWN|DEAD|N/A
.types.consumption|ERA_UNKNOWN|DEAD|N/A
.client|ERA_UNKNOWN|DEAD|N/A
tenacity|ERA_UNKNOWN|DEAD|N/A
.structural|ERA_UNKNOWN|DEAD|N/A
.integrity|ERA_UNKNOWN|DEAD|N/A
.epistemic|ERA_UNKNOWN|DEAD|N/A
.contrast|ERA_UNKNOWN|DEAD|N/A
.operational|ERA_UNKNOWN|DEAD|N/A
.consumption|ERA_UNKNOWN|DEAD|N/A
.orchestration|ERA_UNKNOWN|DEAD|N/A
... core.signal|ERA_UNKNOWN|DEAD|N/A
.depuration|ERA_UNKNOWN|DEAD|N/A
.base_vehicle|ERA_UNKNOWN|DEAD|N/A
.signal_registry|ERA_UNKNOWN|DEAD|N/A
.signal_context_scoper|ERA_UNKNOWN|DEAD|N/A
.signal_evidence_extractor|ERA_UNKNOWN|DEAD|N/A
.signal_intelligence_layer|ERA_UNKNOWN|DEAD|N/A
.signal_loader|ERA_UNKNOWN|DEAD|N/A
.signal_quality_metrics|ERA_UNKNOWN|DEAD|N/A
.signal_enhancement_integrator|ERA_UNKNOWN|DEAD|N/A
.signal_irrigator|ERA_UNKNOWN|DEAD|N/A
.signals|ERA_UNKNOWN|DEAD|N/A
.contrast.contrast_signals_vehicle|ERA_UNKNOWN|DEAD|N/A
.structural.schema_validator_vehicle|ERA_UNKNOWN|DEAD|N/A
.. core.signal|ERA_UNKNOWN|DEAD|N/A
.contrast_signals_vehicle|ERA_UNKNOWN|DEAD|N/A
..base_vehicle|ERA_UNKNOWN|DEAD|N/A
...signal_types.types.contrast|ERA_UNKNOWN|DEAD|N/A
..signal_types.types.structural|ERA_UNKNOWN|DEAD|N/A
..signal_types.types.epistemic|ERA_UNKNOWN|DEAD|N/A
farfan_pipeline.infrastructure.extractors.empirical_extractor_base|ERA_MODERN|LIVE|N/A
..signal_types.types.integrity|ERA_UNKNOWN|DEAD|N/A
.schema_validator_vehicle|ERA_UNKNOWN|DEAD|N/A
...signal_types.types.structural|ERA_UNKNOWN|DEAD|N/A
