# 03_MODULE_RESOLUTION.txt
# Module existence verification on filesystem
# Format: <module_path>|<status>|<resolved_file_path>

tempfile|DEAD|NO_FILE
random|DEAD|NO_FILE
farfan_pipeline.dashboard_atroz_.pdet_colombia_data|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/dashboard_atroz_/pdet_colombia_data.py
py_compile|DEAD|NO_FILE
farfan_pipeline.infrastructure.calibration.calibration_core|DEAD|NO_FILE
farfan_pipeline.infrastructure.calibration|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/calibration/__init__.py
numpy|DEAD|NO_FILE
resource|DEAD|NO_FILE
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.signal|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/core/signal.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.event|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/core/event.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.bus|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/core/bus.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.contracts|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/core/contracts.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.structural|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/signal_types/types/structural.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.integrity|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/signal_types/types/integrity.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.epistemic|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/signal_types/types/epistemic.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.contrast|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/signal_types/types/contrast.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.operational|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/signal_types/types/operational.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.consumption|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/signal_types/types/consumption.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.orchestration|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/signal_types/types/orchestration.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.validators.depuration|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/validators/depuration.py
canonic_questionnaire_central.core.signal_distribution_orchestrator|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/core/signal_distribution_orchestrator.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.wiring.wiring_config|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/wiring/wiring_config.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.harmonization.harmonization_validator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/harmonization/harmonization_validator.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_map|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/irrigation/irrigation_map.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_executor|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/irrigation/irrigation_executor.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_validator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/irrigation/irrigation_validator.py
canonic_questionnaire_central.core.signal|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/core/signal.py
farfan_pipeline.orchestration.sisas_integration_hub|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/orchestration/sisas_integration_hub.py
farfan_pipeline.phases.Phase_two.phase2_60_00_base_executor_with_contract|DEAD|NO_FILE
farfan_pipeline.orchestration.core_orchestrator|DEAD|NO_FILE
farfan_pipeline.infrastructure.extractors.financial_chain_extractor|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/extractors/financial_chain_extractor.py
farfan_pipeline.infrastructure.extractors.causal_verb_extractor|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/extractors/causal_verb_extractor.py
farfan_pipeline.infrastructure.extractors.institutional_ner_extractor|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/extractors/institutional_ner_extractor.py
farfan_pipeline.infrastructure.questionnaire.modular_resolver|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/questionnaire/modular_resolver.py
farfan_pipeline.phases.Phase_06.phase6_10_01_scoring_config|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_06/phase6_10_01_scoring_config.py
farfan_pipeline.phases.Phase_06.phase6_10_00_phase_6_constants|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_06/phase6_10_00_phase_6_constants.py
farfan_pipeline.phases.Phase_06.phase6_20_00_adaptive_meso_scoring|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_06/phase6_20_00_adaptive_meso_scoring.py
farfan_pipeline.phases.Phase_06|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_06/__init__.py
farfan_pipeline.phases.Phase_06.contracts.phase6_output_contract|DEAD|NO_FILE
farfan_pipeline.phases.Phase_02.phase2_60_01_contract_validator_cqvr|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_02/phase2_60_01_contract_validator_cqvr.py
setuptools|DEAD|NO_FILE
farfan_pipeline.calibration|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/calibration/__init__.py
farfan_pipeline.core.types|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/core/types.py
farfan_pipeline.data_models.unit_of_analysis|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/data_models/unit_of_analysis.py
farfan_pipeline.api|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/api/__init__.py
fastapi.middleware.cors|DEAD|NO_FILE
farfan_pipeline.calibration.pdm_calibrator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/calibration/pdm_calibrator.py
farfan_pipeline.calibration.registry|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/calibration/registry.py
farfan_pipeline.calibration.calibration_core|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/calibration/calibration_core.py
farfan_pipeline.calibration.epistemic_core|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/calibration/epistemic_core.py
farfan_pipeline.calibration.type_defaults|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/calibration/type_defaults.py
farfan_pipeline.calibration.mathematical_calibration|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/calibration/mathematical_calibration.py
.calibration_core|DEAD|NO_FILE
.mathematical_calibration|DEAD|NO_FILE
scipy|DEAD|NO_FILE
scipy.optimize|DEAD|NO_FILE
scipy.spatial.distance|DEAD|NO_FILE
sklearn.metrics|DEAD|NO_FILE
skopt|DEAD|NO_FILE
skopt.space|DEAD|NO_FILE
types|DEAD|NO_FILE
.epistemic_core|DEAD|NO_FILE
collections.abc|DEAD|NO_FILE
scipy.special|DEAD|NO_FILE
sklearn.model_selection|DEAD|NO_FILE
farfan_pipeline.capacity.types|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/capacity/types.py
farfan_pipeline.capacity.base_score|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/capacity/base_score.py
farfan_pipeline.capacity.aggregation|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/capacity/aggregation.py
farfan_pipeline.capacity.equipment|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/capacity/equipment.py
farfan_pipeline.capacity.ici_calculator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/capacity/ici_calculator.py
farfan_pipeline.capacity.phase_integration|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/capacity/phase_integration.py
farfan_pipeline.capacity.phase_aware_aggregation|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/capacity/phase_aware_aggregation.py
numpy.typing|DEAD|NO_FILE
farfan_pipeline.config.threshold_config|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/config/threshold_config.py
flask|DEAD|NO_FILE
.monitoring_enhanced|DEAD|NO_FILE
..api.api_server|DEAD|NO_FILE
.api_v1_schemas|DEAD|NO_FILE
asyncio|DEAD|NO_FILE
sse_starlette.sse|DEAD|NO_FILE
.api_v1_errors|DEAD|NO_FILE
.api_v1_store|DEAD|NO_FILE
.api_v1_visualizations|DEAD|NO_FILE
.api_v1_sisas_mining|DEAD|NO_FILE
.api_v1_reports|DEAD|NO_FILE
.api_v1_utils|DEAD|NO_FILE
.pdet_colombia_data|DEAD|NO_FILE
unicodedata|DEAD|NO_FILE
secrets|DEAD|NO_FILE
bcrypt|DEAD|NO_FILE
.auth_admin|DEAD|NO_FILE
farfan_pipeline.analysis.cross_document_comparative|DEAD|NO_FILE
flask_cors|DEAD|NO_FILE
flask_socketio|DEAD|NO_FILE
werkzeug.utils|DEAD|NO_FILE
farfan_pipeline.phases.Phase_00.phase0_10_00_paths|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_00/phase0_10_00_paths.py
farfan_pipeline.dashboard_atroz_.pdet_dashboard_adapter|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/dashboard_atroz_/pdet_dashboard_adapter.py
farfan_pipeline.dashboard_atroz_.pipeline_dashboard_bridge|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/dashboard_atroz_/pipeline_dashboard_bridge.py
farfan_pipeline.dashboard_atroz_.api_monitoring_enhanced|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/dashboard_atroz_/api_monitoring_enhanced.py
farfan_pipeline.dashboard_atroz_.dashboard_data_service|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/dashboard_atroz_/dashboard_data_service.py
farfan_pipeline.dashboard_atroz_.data_mining_engine|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/dashboard_atroz_/data_mining_engine.py
farfan_pipeline.dashboard_atroz_.analytics_engine|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/dashboard_atroz_/analytics_engine.py
psutil|DEAD|NO_FILE
farfan_pipeline.dashboard_atroz_.monitoring_enhanced|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/dashboard_atroz_/monitoring_enhanced.py
farfan_pipeline.orchestration.orchestrator|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/orchestration/orchestrator.py
..api.dashboard_data_service|DEAD|NO_FILE
difflib|DEAD|NO_FILE
httpx|DEAD|NO_FILE
..api.pipeline_connector|DEAD|NO_FILE
threading|DEAD|NO_FILE
spacy|DEAD|NO_FILE
spacy.pipeline|DEAD|NO_FILE
farfan_pipeline.phases.Phase_02.phase2_10_00_factory|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_02/phase2_10_00_factory.py
fastapi.exception_handlers|DEAD|NO_FILE
fastapi.exceptions|DEAD|NO_FILE
starlette.exceptions|DEAD|NO_FILE
farfan_pipeline.dashboard_atroz_.api_v1_errors|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/dashboard_atroz_/api_v1_errors.py
farfan_pipeline.dashboard_atroz_.api_v1_router|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/dashboard_atroz_/api_v1_router.py
farfan_pipeline.dashboard_atroz_.auth_router|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/dashboard_atroz_/auth_router.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/signals/__init__.py
sklearn.feature_extraction.text|DEAD|NO_FILE
farfan_pipeline.data_models.handoff_contracts|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/data_models/handoff_contracts.py
farfan_pipeline.entrypoint.main|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/entrypoint/main.py
farfan_pipeline.orchestration.cli|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/orchestration/cli.py
.bayesian_prior_builder|DEAD|NO_FILE
.bayesian_sampling_engine|DEAD|NO_FILE
.bayesian_adapter|DEAD|NO_FILE
.bayesian_diagnostics|DEAD|NO_FILE
arviz|DEAD|NO_FILE
matplotlib.pyplot|DEAD|NO_FILE
pymc|DEAD|NO_FILE
farfan_pipeline.infrastructure.dependencies|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/dependencies.py
.pdm_calibrator|DEAD|NO_FILE
.registry|DEAD|NO_FILE
.type_defaults|DEAD|NO_FILE
.audit_trail|DEAD|NO_FILE
.runtime_contracts|DEAD|NO_FILE
hmac|DEAD|NO_FILE
audit_trail|DEAD|NO_FILE
blake3|DEAD|NO_FILE
farfan_pipeline.utils.enhanced_contracts|DEAD|NO_FILE
contextlib|DEAD|NO_FILE
doctest|DEAD|NO_FILE
io|DEAD|NO_FILE
farfan_pipeline.calibration.parameters|DEAD|NO_FILE
farfan_pipeline.phases.Phase_00.phase0_10_01_runtime_config|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_00/phase0_10_01_runtime_config.py
pytest|DEAD|NO_FILE
farfan_pipeline.infrastructure.contractual.dura_lex.aggregation_contract|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/contractual/dura_lex/aggregation_contract.py
unittest.mock|DEAD|NO_FILE
farfan_pipeline.phases.Phase_00.phase0_20_02_determinism|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_00/phase0_20_02_determinism.py
farfan_pipeline.phases.Phase_00.phase0_50_00_boot_checks|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_00/phase0_50_00_boot_checks.py
farfan_pipeline.phases.Phase_00.phase0_50_01_exit_gates|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_00/phase0_50_01_exit_gates.py
farfan_pipeline.phases.Phase_00.phase0_90_01_verified_pipeline_runner|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/phases/Phase_00/phase0_90_01_verified_pipeline_runner.py
farfan_pipeline.contracts.traceability|DEAD|NO_FILE
farfan_pipeline.question_context|DEAD|NO_FILE
farfan_pipeline.contracts.context_immutability|DEAD|NO_FILE
farfan_pipeline.contracts.concurrency_determinism|DEAD|NO_FILE
farfan_pipeline.contracts.idempotency_dedup|DEAD|NO_FILE
farfan_pipeline.contracts.failure_fallback|DEAD|NO_FILE
farfan_pipeline.contracts.monotone_compliance|DEAD|NO_FILE
farfan_pipeline.contracts.alignment_stability|DEAD|NO_FILE
farfan_pipeline.contracts.permutation_invariance|DEAD|NO_FILE
farfan_pipeline.contracts.budget_monotonicity|DEAD|NO_FILE
farfan_pipeline.contracts.routing_contract|DEAD|NO_FILE
farfan_pipeline.contracts.risk_certificate|DEAD|NO_FILE
farfan_pipeline.contracts.refusal|DEAD|NO_FILE
farfan_pipeline.contracts.retriever_contract|DEAD|NO_FILE
farfan_pipeline.contracts.snapshot_contract|DEAD|NO_FILE
farfan_pipeline.contracts.total_ordering|DEAD|NO_FILE
orchestration.verify_contracts|DEAD|NO_FILE
farfan_pipeline.phases.Phase_02.executors.base_executor_with_contract|DEAD|NO_FILE
orchestration.class_registry|DEAD|NO_FILE
.empirical_extractor_base|DEAD|NO_FILE
.structural_marker_extractor|DEAD|NO_FILE
.normative_reference_extractor|DEAD|NO_FILE
.quantitative_triplet_extractor|DEAD|NO_FILE
.financial_chain_extractor|DEAD|NO_FILE
.causal_verb_extractor|DEAD|NO_FILE
.institutional_ner_extractor|DEAD|NO_FILE
.extractor_validator|DEAD|NO_FILE
{extractor.__class__.__module__}|DEAD|NO_FILE
transformers|DEAD|NO_FILE
string|DEAD|NO_FILE
farfan_pipeline.infrastructure.extractors.programmatic_hierarchy_extractor|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/extractors/programmatic_hierarchy_extractor.py
.core.event|DEAD|NO_FILE
.core.contracts|DEAD|NO_FILE
.core.bus|DEAD|NO_FILE
.vehicles.signal_registry|DEAD|NO_FILE
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_registry|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/signal_registry.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_context_scoper|DEAD|NO_FILE
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.integration.signal_consumption_integration|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/integration/signal_consumption_integration.py
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.audit.questionnaire_access_audit|LIVE|/home/user/FARFAN_MCDPP/src/farfan_pipeline/infrastructure/irrigation_using_signals/SISAS/audit/questionnaire_access_audit.py
..core.contracts|DEAD|NO_FILE
..signal_types.types.consumption|DEAD|NO_FILE
..core.event|DEAD|NO_FILE
..core.signal|LIVE|/home/user/FARFAN_MCDPP/canonic_questionnaire_central/core/signal.py
..core.bus|DEAD|NO_FILE
.base_consumer|DEAD|NO_FILE
.phase0.phase0_90_02_bootstrap|DEAD|NO_FILE
.phase0.providers|DEAD|NO_FILE
.phase0.wiring_types|DEAD|NO_FILE
.phase1.phase1_11_00_signal_enrichment|DEAD|NO_FILE
.phase1.phase1_13_00_cpp_ingestion|DEAD|NO_FILE
.phase2.phase2_factory_consumer|DEAD|NO_FILE
.phase2.phase2_evidence_consumer|DEAD|NO_FILE
.phase2.phase2_contract_consumer|DEAD|NO_FILE
.phase2.phase2_executor_consumer|DEAD|NO_FILE
.phase3.phase3_10_00_signal_enriched_scoring|DEAD|NO_FILE
.phase4.phase4_aggregation_consumer|DEAD|NO_FILE
.phase5.phase5_uncertainty_consumer|DEAD|NO_FILE
.phase6.phase6_configuration_consumer|DEAD|NO_FILE
.phase7.phase7_meso_consumer|DEAD|NO_FILE
.phase8.phase8_30_00_signal_enriched_recommendations|DEAD|NO_FILE
.phase9.phase9_reporting_consumer|DEAD|NO_FILE
..signal_types.types.operational|DEAD|NO_FILE
.phase0_90_02_bootstrap|DEAD|NO_FILE
.providers|DEAD|NO_FILE
.wiring_types|DEAD|NO_FILE
...core.contracts|DEAD|NO_FILE
.phase1_11_00_signal_enrichment|DEAD|NO_FILE
.phase1_13_00_cpp_ingestion|DEAD|NO_FILE
.phase2_factory_consumer|DEAD|NO_FILE
.phase2_executor_consumer|DEAD|NO_FILE
.phase2_evidence_consumer|DEAD|NO_FILE
.phase2_contract_consumer|DEAD|NO_FILE
...core.event|DEAD|NO_FILE
opentelemetry|DEAD|NO_FILE
.phase3_10_00_signal_enriched_scoring|DEAD|NO_FILE
.phase4_aggregation_consumer|DEAD|NO_FILE
