# 06_DECISION_MATRIX.txt
# Mechanical remediation actions per import
# Format: <module>|<era>|<module_reality>|<symbol_reality>|<action>|<status>

canonic_questionnaire_central.audits|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.core|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.bus_audit|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.integration|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
abc|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
enum|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
uuid|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signal|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.signal_distribution_orchestrator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.audits.integration|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.colombia_context|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.cross_cutting|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.dimensions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
subprocess|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
structlog|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.core.signal_distribution_orchestrator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.core.signal|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
farfan_pipeline.orchestration.factory|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
canonic_questionnaire_central.scoring|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.scoring.validators|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.modules|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.validators|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.scoring.modules|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
.quality_levels|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.scoring_modalities|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.pdet_scoring_enrichment|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.phase4_territorial_integration|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
math|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.scoring_validators|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..modules.quality_levels|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..modules.scoring_modalities|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
csv|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
yaml|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.validations.runtime_validators.scope_validator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.validations.runtime_validators.value_add_validator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.validations.runtime_validators.capability_validator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.validations.runtime_validators.channel_validator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
statistics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.phase_4_7_aggregation_pipeline.choquet_aggregator|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
os|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.dependency_graph|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.orchestration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.interphase.wiring_types|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.extractors|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
importlib.util|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
ast_analyzers|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
..base_consumer|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
...core.signal|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
inspect|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_01.interphase.phase0_to_phase1_bridge|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.interphase.phase1_phase2_adapter|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_02.interphase.phase2_phase3_adapter|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_05.interphase.phase5_10_00_entry_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_05.interphase.phase5_10_00_exit_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_07.interphase.phase6_to_phase7_bridge|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_08.interphase.interface_validator|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
importlib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
canonic_questionnaire_central.validations.pdet_validator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
canonic_questionnaire_central.scoring.modules.pdet_scoring_enrichment|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
shutil|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
tempfile|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
random|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.dashboard_atroz_.pdet_colombia_data|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
py_compile|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.calibration.calibration_core|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.calibration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
numpy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
resource|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.signal|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.event|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.bus|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.core.contracts|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.structural|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.integrity|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.epistemic|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.contrast|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.operational|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.consumption|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signal_types.types.orchestration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.validators.depuration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
canonic_questionnaire_central.core.signal_distribution_orchestrator|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.wiring.wiring_config|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.harmonization.harmonization_validator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_map|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_executor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.irrigation.irrigation_validator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
canonic_questionnaire_central.core.signal|ERA_UNKNOWN|LIVE|N/A|INVESTIGATE|UNKNOWN
farfan_pipeline.orchestration.sisas_integration_hub|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_two.phase2_60_00_base_executor_with_contract|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.orchestration.core_orchestrator|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.extractors.financial_chain_extractor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.extractors.causal_verb_extractor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.extractors.institutional_ner_extractor|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.questionnaire.modular_resolver|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_06.phase6_10_01_scoring_config|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_06.phase6_10_00_phase_6_constants|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_06.phase6_20_00_adaptive_meso_scoring|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_06|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_06.contracts.phase6_output_contract|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.phase2_60_01_contract_validator_cqvr|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
setuptools|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.calibration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.core.types|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.data_models.unit_of_analysis|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.api|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
fastapi.middleware.cors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.calibration.pdm_calibrator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.calibration.registry|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.calibration.calibration_core|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.calibration.epistemic_core|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.calibration.type_defaults|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.calibration.mathematical_calibration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.calibration_core|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.mathematical_calibration|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
scipy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
scipy.optimize|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
scipy.spatial.distance|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sklearn.metrics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
skopt|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
skopt.space|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
types|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.epistemic_core|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
collections.abc|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
scipy.special|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sklearn.model_selection|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.capacity.types|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.capacity.base_score|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.capacity.aggregation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.capacity.equipment|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.capacity.ici_calculator|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.capacity.phase_integration|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.capacity.phase_aware_aggregation|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
numpy.typing|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.config.threshold_config|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
flask|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.monitoring_enhanced|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..api.api_server|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.api_v1_schemas|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
asyncio|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
sse_starlette.sse|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.api_v1_errors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.api_v1_store|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.api_v1_visualizations|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.api_v1_sisas_mining|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.api_v1_reports|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.api_v1_utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.pdet_colombia_data|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
unicodedata|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
secrets|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
bcrypt|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.auth_admin|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.analysis.cross_document_comparative|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
flask_cors|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
flask_socketio|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
werkzeug.utils|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_00.phase0_10_00_paths|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.dashboard_atroz_.pdet_dashboard_adapter|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.dashboard_atroz_.pipeline_dashboard_bridge|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.dashboard_atroz_.api_monitoring_enhanced|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.dashboard_atroz_.dashboard_data_service|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.dashboard_atroz_.data_mining_engine|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.dashboard_atroz_.analytics_engine|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
psutil|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.dashboard_atroz_.monitoring_enhanced|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.orchestration.orchestrator|ERA_ORCHESTRATOR|LIVE|N/A|REDIRECT|MIGRATION_ARTIFACT
..api.dashboard_data_service|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
difflib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
httpx|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
..api.pipeline_connector|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
threading|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
spacy|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
spacy.pipeline|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_02.phase2_10_00_factory|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
fastapi.exception_handlers|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
fastapi.exceptions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
starlette.exceptions|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.dashboard_atroz_.api_v1_errors|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.dashboard_atroz_.api_v1_router|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.dashboard_atroz_.auth_router|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.infrastructure.irrigation_using_signals.SISAS.signals|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
sklearn.feature_extraction.text|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.data_models.handoff_contracts|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.entrypoint.main|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.orchestration.cli|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.bayesian_prior_builder|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bayesian_sampling_engine|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bayesian_adapter|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.bayesian_diagnostics|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
arviz|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
matplotlib.pyplot|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
pymc|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.dependencies|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
.pdm_calibrator|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.registry|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.type_defaults|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.audit_trail|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
.runtime_contracts|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
hmac|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
audit_trail|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
blake3|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.utils.enhanced_contracts|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
contextlib|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
doctest|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
io|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.calibration.parameters|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_00.phase0_10_01_runtime_config|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
pytest|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.infrastructure.contractual.dura_lex.aggregation_contract|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
unittest.mock|ERA_UNKNOWN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.phases.Phase_00.phase0_20_02_determinism|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_50_00_boot_checks|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_50_01_exit_gates|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.phases.Phase_00.phase0_90_01_verified_pipeline_runner|ERA_MODERN|LIVE|N/A|KEEP|CANONICAL
farfan_pipeline.contracts.traceability|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.question_context|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.context_immutability|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.concurrency_determinism|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.idempotency_dedup|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.failure_fallback|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.monotone_compliance|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.alignment_stability|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
farfan_pipeline.contracts.permutation_invariance|ERA_MODERN|DEAD|N/A|DELETE|ARCHITECTURAL_GHOST
